77474462.8340189, 1.554886620278953e-10
122353447.67756625, 1.2085623366427915e-10
182501586.5863843, 1.0655018805581693e-10
272218149.45762694, 1.1588594789039653e-10
406038776.32077044, 1.5225781296120975e-10
550646143.6198739, 1.7636547070517852e-10
666136582.1309562, 1.5878806840201022e-10
805849548.1981161, 1.6559840297499267e-10
1012704606.792527, 1.5225781296120975e-10
1225105438.9345539, 1.5225781296120975e-10
1510543437.8116326, 1.5225781296120975e-10
1792894903.3773437, 1.5225781296120975e-10
2210622485.9615893, 1.399919394828431e-10
2831473297.4880633, 1.2871420348826933e-10
3360733572.4617825, 1.1347799092620009e-10
4143752760.1953473, 1.021682470682345e-10
4918304908.446126, 7.614615754863503e-11
6064223509.668827, 7.301460072177632e-11
7477130324.325159, 5.003399821094312e-11
9045355344.996414, 4.6979435175473784e-11
10942493947.32053, 3.5756827651611106e-11
15415568425.617712, 2.89846185343872e-11
22134608238.58026, 1.3899453224777649e-11
41490731487.13702, 1.1506028976111117e-11
135093148081.75296, 5.07316554079817e-12
