230232819901.1395, 5.634751008513645e-12
283874892901.45276, 5.07316554079817e-12
343413738752.53125, 4.664471855738519e-12
415440036836.69464, 4.567550290235626e-12
502572858132.63446, 4.567550290235626e-12
619667588395.2568, 4.112327004915597e-12
778731244375.669, 4.763450057569996e-12
942059388842.4574, 3.781038371754841e-12
1118149557738.8665, 3.625540879736009e-12
1405169501846.9941, 3.702473387432738e-12
1699884435985.7815, 3.781038371754841e-12
2095941457944.6753, 2.8778110443002623e-12
2535536288265.8394, 3.861270473194513e-12
2952720752379.0146, 2.938877028013976e-12
3710660277954.245, 3.001238807146332e-12
4321193768138.742, 3.001238807146332e-12
5430409244035.952, 2.537157568645365e-12
6569362730144.979, 2.4844387848074705e-12
7947196010616.508, 2.3822647357425893e-12
9798817637508.584, 1.7386130444540379e-12
12081849619020.527, 1.4697714937507359e-12
14896806494068.178, 7.350522744744076e-13
18021206318435.777, 1.4697714937507359e-12
21800905939199.03, 5.594604829780411e-13
27397022094563.03, 1.9173143193138225e-13
32518085909677.68, 7.04822804697704e-13
